timestamp,price,quantity,side
2025-05-04 16:23:52,95699.84000000,0.00002000,buy
2025-05-04 16:23:53,95699.84000000,0.00004000,buy
2025-05-04 16:23:54,95699.84000000,0.00002000,buy
2025-05-04 16:23:56,95699.84000000,0.00002000,buy
2025-05-04 16:29:45,95711.00000000,0.00008000,sell
2025-05-04 16:30:39,95720.00000000,0.00052000,buy
2025-05-04 16:32:00,95711.04000000,0.00003000,sell
2025-05-04 16:33:46,95720.00000000,0.00048000,buy
2025-05-04 16:33:46,95761.00000000,0.01999000,buy
2025-05-04 16:35:44,95768.51000000,0.00005000,buy
2025-05-04 16:37:26,95739.36000000,0.00006000,buy
2025-05-04 16:38:23,95711.02000000,0.00105000,sell
2025-05-04 16:39:02,95767.00000000,0.00298000,buy
2025-05-04 16:43:16,95768.51000000,0.00002000,buy
2025-05-04 16:43:16,95768.51000000,0.00155000,buy
2025-05-04 16:43:52,95724.46000000,0.00104000,sell
2025-05-04 16:47:42,95711.00000000,0.00047000,sell
2025-05-04 16:47:59,95731.74000000,0.00001000,buy
2025-05-04 16:48:11,95736.40000000,0.00168000,buy
2025-05-04 16:49:24,95761.22000000,0.00001000,buy
2025-05-04 16:53:54,95741.16000000,0.00026000,sell
2025-05-04 16:53:54,95711.85000000,0.00021000,sell
2025-05-04 16:56:05,95712.94000000,0.00002000,sell
2025-05-04 16:59:05,95711.00000000,0.00018000,sell
2025-05-04 16:59:11,95711.00000000,0.00003000,sell
2025-05-04 17:00:06,95711.00000000,0.05045000,sell
2025-05-04 17:02:49,95599.13000000,0.05230000,sell
2025-05-04 17:03:07,95513.29000000,0.00007000,sell
2025-05-04 17:03:42,95391.25000000,0.00006000,buy
2025-05-04 17:03:48,95385.68000000,0.00007000,sell
2025-05-04 17:03:49,95360.35000000,0.00006000,buy
2025-05-04 17:03:57,95317.38000000,0.00007000,buy
2025-05-04 17:03:58,95259.97000000,0.00031000,sell
2025-05-04 17:03:58,95258.07000000,0.00007000,sell
2025-05-04 17:03:58,95240.67000000,0.00096000,sell
2025-05-04 17:03:59,95227.40000000,0.00034000,sell
2025-05-04 17:03:59,95209.48000000,0.01319000,sell
2025-05-04 17:03:59,95209.00000000,0.00209000,sell
2025-05-04 17:04:00,95260.62000000,0.00023000,buy
2025-05-04 17:04:08,95227.92000000,0.00012000,buy
2025-05-04 17:04:11,95221.52000000,0.00017000,buy
2025-05-04 17:04:33,95234.22000000,0.04800000,sell
2025-05-04 17:04:33,95234.21000000,0.00870000,sell
2025-05-04 17:05:00,95213.57000000,0.00002000,buy
2025-05-04 17:05:02,95200.00000000,0.00092000,sell
2025-05-04 17:05:02,95200.00000000,0.00560000,sell
2025-05-04 17:05:03,95200.00000000,0.05498000,sell
2025-05-04 17:05:03,95200.00000000,0.00320000,sell
2025-05-04 17:05:03,95192.67000000,0.00120000,sell
2025-05-04 17:05:04,95192.68000000,0.00026000,buy
2025-05-04 17:05:04,95192.67000000,0.00009000,sell
2025-05-04 17:05:04,95177.19000000,0.00042000,sell
2025-05-04 17:05:44,95164.50000000,0.00014000,buy
2025-05-04 17:05:46,95167.38000000,0.00009000,buy
2025-05-04 17:06:09,95160.00000000,0.00027000,sell
2025-05-04 17:07:14,95278.46000000,0.00002000,buy
2025-05-04 17:08:21,95319.62000000,0.00039000,sell
2025-05-04 17:09:34,95222.29000000,0.00003000,buy
2025-05-04 17:09:34,95222.30000000,0.00007000,buy
2025-05-04 17:11:20,95192.46000000,0.00002000,buy
2025-05-04 17:11:20,95192.46000000,0.00001000,buy
2025-05-04 17:16:59,95277.23000000,0.00218000,sell
2025-05-04 17:17:46,95340.43000000,0.00002000,buy
2025-05-04 17:17:46,95340.44000000,0.00313000,buy
2025-05-04 17:19:35,95302.99000000,0.00002000,buy
2025-05-04 17:19:35,95302.99000000,0.00008000,buy
2025-05-04 17:19:51,95293.97000000,0.00005000,buy
2025-05-04 17:20:35,95249.38000000,0.00106000,buy
2025-05-04 17:21:22,95187.74000000,0.00011000,buy
2025-05-04 17:21:23,95160.00000000,0.00001000,sell
2025-05-04 17:21:23,95159.67000000,0.00007000,sell
2025-05-04 17:21:23,95141.87000000,0.00006000,sell
2025-05-04 17:21:23,95130.46000000,0.00007000,sell
2025-05-04 17:21:23,95129.56000000,0.00039000,sell
2025-05-04 17:23:25,95206.41000000,0.00005000,sell
2025-05-04 17:24:04,95302.31000000,0.00052000,buy
2025-05-04 17:25:29,95327.55000000,0.00036000,buy
2025-05-04 17:26:00,95288.40000000,0.00003000,sell
2025-05-04 17:32:24,95154.65000000,0.00002000,buy
2025-05-04 17:32:24,95154.65000000,0.00056000,buy
2025-05-04 17:32:47,95139.52000000,0.01001000,buy
2025-05-04 17:32:48,95129.57000000,0.00002000,buy
2025-05-04 17:32:49,95129.57000000,0.00011000,buy
2025-05-04 17:32:50,95129.56000000,0.00010000,sell
2025-05-04 17:32:53,95129.56000000,0.00041000,sell
2025-05-04 17:32:53,95126.51000000,0.00067000,sell
2025-05-04 17:32:53,95125.12000000,0.00034000,sell
2025-05-04 17:32:53,95123.98000000,0.00427000,sell
2025-05-04 17:32:53,95112.10000000,0.00003000,sell
2025-05-04 17:32:53,95104.98000000,0.00006000,sell
2025-05-04 17:32:53,95103.63000000,0.00037000,sell
2025-05-04 17:32:53,95097.39000000,0.00081000,sell
2025-05-04 17:32:53,95082.01000000,0.00002000,sell
